"","treatment","block.id","block.size"
"1",0,"high7.001",4
"2",1,"high7.001",4
"3",0,"high7.001",4
"4",1,"high7.001",4
"5",0,"high7.002",4
"6",1,"high7.002",4
"7",0,"high7.002",4
"8",1,"high7.002",4
"9",1,"high7.003",4
"10",0,"high7.003",4
"11",0,"high7.003",4
"12",1,"high7.003",4
"13",0,"high7.004",4
"14",0,"high7.004",4
"15",1,"high7.004",4
"16",1,"high7.004",4
"17",0,"high7.005",4
"18",1,"high7.005",4
"19",1,"high7.005",4
"20",0,"high7.005",4
"21",1,"high7.006",4
"22",1,"high7.006",4
"23",0,"high7.006",4
"24",0,"high7.006",4
"25",0,"high7.007",4
"26",1,"high7.007",4
"27",0,"high7.007",4
"28",1,"high7.007",4
"29",0,"high7.008",4
"30",1,"high7.008",4
"31",0,"high7.008",4
"32",1,"high7.008",4
"33",0,"high7.009",4
"34",1,"high7.009",4
"35",1,"high7.009",4
"36",0,"high7.009",4
"37",1,"high7.010",4
"38",0,"high7.010",4
"39",1,"high7.010",4
"40",0,"high7.010",4
"41",1,"high7.011",4
"42",1,"high7.011",4
"43",0,"high7.011",4
"44",0,"high7.011",4
"45",0,"high7.012",4
"46",1,"high7.012",4
"47",0,"high7.012",4
"48",1,"high7.012",4
"49",1,"high7.013",4
"50",0,"high7.013",4
"51",0,"high7.013",4
"52",1,"high7.013",4
"53",0,"high7.014",4
"54",1,"high7.014",4
"55",0,"high7.014",4
"56",1,"high7.014",4
"57",1,"high7.015",4
"58",1,"high7.015",4
"59",0,"high7.015",4
"60",0,"high7.015",4
"61",0,"high7.016",4
"62",1,"high7.016",4
"63",1,"high7.016",4
"64",0,"high7.016",4
"65",1,"high7.017",4
"66",0,"high7.017",4
"67",0,"high7.017",4
"68",1,"high7.017",4
"69",1,"high7.018",4
"70",0,"high7.018",4
"71",1,"high7.018",4
"72",0,"high7.018",4
"73",1,"high7.019",4
"74",0,"high7.019",4
"75",1,"high7.019",4
"76",0,"high7.019",4
"77",0,"high7.020",4
"78",1,"high7.020",4
"79",0,"high7.020",4
"80",1,"high7.020",4
"81",1,"high7.021",4
"82",0,"high7.021",4
"83",0,"high7.021",4
"84",1,"high7.021",4
"85",0,"high7.022",4
"86",1,"high7.022",4
"87",1,"high7.022",4
"88",0,"high7.022",4
"89",0,"high7.023",4
"90",1,"high7.023",4
"91",1,"high7.023",4
"92",0,"high7.023",4
"93",0,"high7.024",4
"94",0,"high7.024",4
"95",1,"high7.024",4
"96",1,"high7.024",4
"97",1,"high7.025",4
"98",1,"high7.025",4
"99",0,"high7.025",4
"100",0,"high7.025",4
"101",0,"high7.026",4
"102",1,"high7.026",4
"103",0,"high7.026",4
"104",1,"high7.026",4
"105",0,"high7.027",4
"106",0,"high7.027",4
"107",1,"high7.027",4
"108",1,"high7.027",4
"109",0,"high7.028",4
"110",0,"high7.028",4
"111",1,"high7.028",4
"112",1,"high7.028",4
"113",1,"high7.029",4
"114",1,"high7.029",4
"115",0,"high7.029",4
"116",0,"high7.029",4
"117",1,"high7.030",4
"118",1,"high7.030",4
"119",0,"high7.030",4
"120",0,"high7.030",4
"121",0,"high7.031",4
"122",1,"high7.031",4
"123",1,"high7.031",4
"124",0,"high7.031",4
"125",1,"high7.032",4
"126",0,"high7.032",4
"127",0,"high7.032",4
"128",1,"high7.032",4
"129",0,"high7.033",4
"130",0,"high7.033",4
"131",1,"high7.033",4
