"","treatment","block.id","block.size"
"1",0,"low3.001",4
"2",1,"low3.001",4
"3",0,"low3.001",4
"4",1,"low3.001",4
"5",0,"low3.002",4
"6",1,"low3.002",4
"7",0,"low3.002",4
"8",1,"low3.002",4
"9",1,"low3.003",4
"10",0,"low3.003",4
"11",0,"low3.003",4
"12",1,"low3.003",4
"13",0,"low3.004",4
"14",0,"low3.004",4
"15",1,"low3.004",4
"16",1,"low3.004",4
"17",0,"low3.005",4
"18",1,"low3.005",4
"19",1,"low3.005",4
"20",0,"low3.005",4
"21",1,"low3.006",4
"22",1,"low3.006",4
"23",0,"low3.006",4
"24",0,"low3.006",4
"25",0,"low3.007",4
"26",1,"low3.007",4
"27",0,"low3.007",4
"28",1,"low3.007",4
"29",0,"low3.008",4
"30",1,"low3.008",4
"31",0,"low3.008",4
"32",1,"low3.008",4
"33",0,"low3.009",4
"34",1,"low3.009",4
"35",1,"low3.009",4
"36",0,"low3.009",4
"37",1,"low3.010",4
"38",0,"low3.010",4
"39",1,"low3.010",4
"40",0,"low3.010",4
"41",1,"low3.011",4
"42",1,"low3.011",4
"43",0,"low3.011",4
"44",0,"low3.011",4
"45",0,"low3.012",4
"46",1,"low3.012",4
"47",0,"low3.012",4
"48",1,"low3.012",4
"49",1,"low3.013",4
"50",0,"low3.013",4
"51",0,"low3.013",4
"52",1,"low3.013",4
"53",0,"low3.014",4
"54",1,"low3.014",4
"55",0,"low3.014",4
"56",1,"low3.014",4
"57",1,"low3.015",4
"58",1,"low3.015",4
"59",0,"low3.015",4
"60",0,"low3.015",4
"61",0,"low3.016",4
"62",1,"low3.016",4
"63",1,"low3.016",4
"64",0,"low3.016",4
"65",1,"low3.017",4
"66",0,"low3.017",4
"67",0,"low3.017",4
"68",1,"low3.017",4
"69",1,"low3.018",4
"70",0,"low3.018",4
"71",1,"low3.018",4
"72",0,"low3.018",4
"73",1,"low3.019",4
"74",0,"low3.019",4
"75",1,"low3.019",4
"76",0,"low3.019",4
"77",0,"low3.020",4
"78",1,"low3.020",4
"79",0,"low3.020",4
"80",1,"low3.020",4
"81",1,"low3.021",4
"82",0,"low3.021",4
"83",0,"low3.021",4
"84",1,"low3.021",4
"85",0,"low3.022",4
"86",1,"low3.022",4
"87",1,"low3.022",4
"88",0,"low3.022",4
"89",0,"low3.023",4
"90",1,"low3.023",4
"91",1,"low3.023",4
"92",0,"low3.023",4
"93",0,"low3.024",4
"94",0,"low3.024",4
"95",1,"low3.024",4
"96",1,"low3.024",4
"97",1,"low3.025",4
"98",1,"low3.025",4
"99",0,"low3.025",4
"100",0,"low3.025",4
"101",0,"low3.026",4
"102",1,"low3.026",4
"103",0,"low3.026",4
"104",1,"low3.026",4
"105",0,"low3.027",4
"106",0,"low3.027",4
"107",1,"low3.027",4
"108",1,"low3.027",4
"109",0,"low3.028",4
"110",0,"low3.028",4
"111",1,"low3.028",4
"112",1,"low3.028",4
"113",1,"low3.029",4
"114",1,"low3.029",4
"115",0,"low3.029",4
"116",0,"low3.029",4
"117",1,"low3.030",4
"118",1,"low3.030",4
"119",0,"low3.030",4
"120",0,"low3.030",4
"121",0,"low3.031",4
"122",1,"low3.031",4
"123",1,"low3.031",4
