"","treatment","block.id","block.size"
"1",1,"block001",10
"2",1,"block001",10
"3",1,"block001",10
"4",0,"block001",10
"5",0,"block001",10
"6",1,"block001",10
"7",0,"block001",10
"8",0,"block001",10
"9",0,"block001",10
"10",1,"block001",10
"11",1,"block002",10
"12",0,"block002",10
"13",0,"block002",10
"14",0,"block002",10
"15",1,"block002",10
"16",0,"block002",10
"17",0,"block002",10
"18",1,"block002",10
"19",1,"block002",10
"20",1,"block002",10
"21",0,"block003",10
"22",1,"block003",10
"23",1,"block003",10
"24",1,"block003",10
"25",1,"block003",10
"26",0,"block003",10
"27",0,"block003",10
"28",0,"block003",10
"29",0,"block003",10
"30",1,"block003",10
"31",1,"block004",10
"32",0,"block004",10
"33",1,"block004",10
"34",0,"block004",10
"35",0,"block004",10
"36",1,"block004",10
"37",0,"block004",10
"38",1,"block004",10
"39",1,"block004",10
"40",0,"block004",10
"41",0,"block005",10
"42",1,"block005",10
"43",1,"block005",10
"44",1,"block005",10
"45",0,"block005",10
"46",0,"block005",10
"47",1,"block005",10
"48",1,"block005",10
"49",0,"block005",10
"50",0,"block005",10
"51",0,"block006",10
"52",0,"block006",10
"53",0,"block006",10
"54",1,"block006",10
"55",1,"block006",10
"56",1,"block006",10
"57",0,"block006",10
"58",1,"block006",10
"59",0,"block006",10
"60",1,"block006",10
"61",1,"block007",10
"62",1,"block007",10
"63",0,"block007",10
"64",1,"block007",10
"65",1,"block007",10
"66",1,"block007",10
"67",0,"block007",10
"68",0,"block007",10
"69",0,"block007",10
"70",0,"block007",10
"71",0,"block008",10
"72",0,"block008",10
"73",0,"block008",10
"74",0,"block008",10
"75",1,"block008",10
"76",0,"block008",10
"77",1,"block008",10
"78",1,"block008",10
"79",1,"block008",10
"80",1,"block008",10
"81",1,"block009",10
"82",1,"block009",10
"83",0,"block009",10
"84",0,"block009",10
"85",0,"block009",10
"86",0,"block009",10
"87",0,"block009",10
"88",1,"block009",10
"89",1,"block009",10
"90",1,"block009",10
"91",0,"block010",10
"92",1,"block010",10
"93",1,"block010",10
"94",0,"block010",10
"95",1,"block010",10
"96",0,"block010",10
"97",0,"block010",10
"98",1,"block010",10
"99",0,"block010",10
"100",1,"block010",10
"101",0,"block011",10
"102",1,"block011",10
"103",1,"block011",10
"104",1,"block011",10
"105",0,"block011",10
"106",0,"block011",10
"107",1,"block011",10
"108",0,"block011",10
"109",1,"block011",10
"110",0,"block011",10
"111",0,"block012",10
"112",1,"block012",10
"113",0,"block012",10
"114",1,"block012",10
"115",1,"block012",10
"116",1,"block012",10
"117",0,"block012",10
"118",1,"block012",10
"119",0,"block012",10
"120",0,"block012",10
"121",1,"block013",10
"122",1,"block013",10
"123",1,"block013",10
"124",0,"block013",10
"125",1,"block013",10
"126",1,"block013",10
"127",0,"block013",10
"128",0,"block013",10
"129",0,"block013",10
"130",0,"block013",10
"131",0,"block014",10
"132",0,"block014",10
"133",0,"block014",10
"134",1,"block014",10
"135",1,"block014",10
"136",1,"block014",10
"137",1,"block014",10
"138",1,"block014",10
"139",0,"block014",10
"140",0,"block014",10
"141",1,"block015",10
"142",1,"block015",10
"143",0,"block015",10
"144",0,"block015",10
"145",1,"block015",10
"146",0,"block015",10
"147",1,"block015",10
"148",0,"block015",10
"149",0,"block015",10
"150",1,"block015",10
"151",0,"block016",10
"152",1,"block016",10
"153",0,"block016",10
"154",1,"block016",10
"155",1,"block016",10
"156",0,"block016",10
"157",1,"block016",10
"158",1,"block016",10
"159",0,"block016",10
"160",0,"block016",10
"161",0,"block017",10
"162",1,"block017",10
