"","treatment","block.id","block.size"
"1",0,"block01",12
"2",2,"block01",12
"3",0,"block01",12
"4",1,"block01",12
"5",0,"block01",12
"6",2,"block01",12
"7",0,"block01",12
"8",1,"block01",12
"9",2,"block01",12
"10",2,"block01",12
"11",1,"block01",12
"12",1,"block01",12
"13",1,"block02",12
"14",1,"block02",12
"15",2,"block02",12
"16",0,"block02",12
"17",2,"block02",12
"18",0,"block02",12
"19",2,"block02",12
"20",0,"block02",12
"21",2,"block02",12
"22",0,"block02",12
"23",1,"block02",12
"24",1,"block02",12
"25",0,"block03",12
"26",2,"block03",12
"27",2,"block03",12
"28",0,"block03",12
"29",1,"block03",12
"30",1,"block03",12
"31",0,"block03",12
"32",2,"block03",12
"33",2,"block03",12
"34",1,"block03",12
"35",1,"block03",12
"36",0,"block03",12
"37",0,"block04",12
"38",0,"block04",12
"39",1,"block04",12
"40",2,"block04",12
"41",2,"block04",12
"42",0,"block04",12
"43",1,"block04",12
"44",2,"block04",12
"45",1,"block04",12
"46",0,"block04",12
"47",2,"block04",12
"48",1,"block04",12
"49",2,"block05",12
"50",0,"block05",12
"51",2,"block05",12
"52",1,"block05",12
"53",0,"block05",12
"54",1,"block05",12
"55",0,"block05",12
"56",0,"block05",12
"57",2,"block05",12
"58",2,"block05",12
"59",1,"block05",12
"60",1,"block05",12
"61",2,"block06",12
"62",1,"block06",12
"63",0,"block06",12
"64",0,"block06",12
"65",1,"block06",12
"66",0,"block06",12
"67",0,"block06",12
"68",1,"block06",12
"69",1,"block06",12
"70",2,"block06",12
"71",2,"block06",12
"72",2,"block06",12
"73",2,"block07",12
"74",2,"block07",12
"75",1,"block07",12
"76",0,"block07",12
"77",1,"block07",12
"78",2,"block07",12
"79",1,"block07",12
"80",0,"block07",12
"81",2,"block07",12
"82",0,"block07",12
"83",0,"block07",12
"84",1,"block07",12
"85",2,"block08",12
"86",0,"block08",12
"87",2,"block08",12
"88",0,"block08",12
"89",2,"block08",12
"90",1,"block08",12
"91",1,"block08",12
"92",0,"block08",12
"93",0,"block08",12
"94",1,"block08",12
"95",2,"block08",12
"96",1,"block08",12
"97",0,"block09",12
"98",1,"block09",12
"99",0,"block09",12
"100",2,"block09",12
"101",2,"block09",12
"102",2,"block09",12
"103",1,"block09",12
"104",0,"block09",12
"105",1,"block09",12
"106",0,"block09",12
"107",2,"block09",12
"108",1,"block09",12
"109",2,"block10",12
"110",1,"block10",12
"111",1,"block10",12
"112",2,"block10",12
"113",0,"block10",12
"114",0,"block10",12
"115",0,"block10",12
"116",1,"block10",12
"117",2,"block10",12
"118",0,"block10",12
"119",1,"block10",12
"120",2,"block10",12
"121",1,"block11",12
"122",1,"block11",12
"123",1,"block11",12
"124",2,"block11",12
"125",2,"block11",12
"126",1,"block11",12
"127",2,"block11",12
"128",2,"block11",12
"129",0,"block11",12
"130",0,"block11",12
"131",0,"block11",12
"132",0,"block11",12
"133",0,"block12",12
"134",1,"block12",12
"135",2,"block12",12
"136",2,"block12",12
"137",0,"block12",12
"138",1,"block12",12
"139",1,"block12",12
"140",0,"block12",12
"141",1,"block12",12
"142",0,"block12",12
"143",2,"block12",12
"144",2,"block12",12
"145",0,"block13",12
"146",2,"block13",12
"147",0,"block13",12
"148",0,"block13",12
"149",2,"block13",12
"150",1,"block13",12
"151",1,"block13",12
"152",1,"block13",12
"153",2,"block13",12
"154",0,"block13",12
"155",2,"block13",12
"156",1,"block13",12
"157",2,"block14",12
"158",0,"block14",12
"159",1,"block14",12
"160",1,"block14",12
"161",0,"block14",12
"162",1,"block14",12
"163",2,"block14",12
"164",1,"block14",12
"165",0,"block14",12
"166",2,"block14",12
"167",0,"block14",12
"168",2,"block14",12
"169",2,"block15",12
"170",2,"block15",12
"171",0,"block15",12
"172",1,"block15",12
"173",1,"block15",12
"174",1,"block15",12
"175",0,"block15",12
"176",0,"block15",12
"177",2,"block15",12
"178",0,"block15",12
"179",1,"block15",12
"180",2,"block15",12
"181",1,"block16",12
"182",2,"block16",12
"183",0,"block16",12
"184",1,"block16",12
"185",2,"block16",12
"186",1,"block16",12
"187",1,"block16",12
"188",0,"block16",12
"189",0,"block16",12
"190",0,"block16",12
"191",2,"block16",12
"192",2,"block16",12
"193",2,"block17",12
"194",0,"block17",12
"195",2,"block17",12
"196",1,"block17",12
"197",1,"block17",12
"198",0,"block17",12
