"","treatment","block.id","block.size"
"1",1,"ama.block1",6
"2",0,"ama.block1",6
"3",1,"ama.block1",6
"4",1,"ama.block1",6
"5",0,"ama.block1",6
"6",0,"ama.block1",6
"7",1,"ama.block2",6
"8",1,"ama.block2",6
"9",0,"ama.block2",6
"10",1,"ama.block2",6
"11",0,"ama.block2",6
"12",0,"ama.block2",6
"13",1,"ama.block3",6
"14",1,"ama.block3",6
"15",0,"ama.block3",6
"16",1,"ama.block3",6
"17",0,"ama.block3",6
"18",0,"ama.block3",6
"19",0,"ama.block4",6
"20",1,"ama.block4",6
"21",1,"ama.block4",6
"22",0,"ama.block4",6
"23",0,"ama.block4",6
"24",1,"ama.block4",6
