method,family,url,limit_per_window
,business_experience,/business_experience/dashboard_settings/destroy,450
,business_experience,/business_experience/keywords,450
,business_experience,/business_experience/dashboard_settings/update,450
,business_experience,/business_experience/dashboard_features,450
,business_experience,/business_experience/dashboard_settings/show,450
,users,/users/contributees/pending,200
,users,/users/report_spam,15
,users,/users/profile_banner,180
,users,/users/search,900
,users,/users/derived_info,15
,users,/users/suggestions,15
,users,/users/suggestions/:slug/members,15
,users,/users/contributors/pending,2000
,users,/users/suggestions/:slug,15
GetUser,users,/users/show/:id,900
UsersLookup,users,/users/lookup,900
,friendships,/friendships/list,200
,friendships,/friendships/show,180
,friendships,/friendships/no_retweets/ids,15
,friendships,/friendships/lookup,15
,friendships,/friendships/outgoing,15
,friendships,/friendships/incoming,15
,application,/application/rate_limit_status,180
,device,/device/token,15
,direct_messages,/direct_messages/mark_read,1000
,direct_messages,/direct_messages/events/list,15
,direct_messages,/direct_messages/events/show,15
,direct_messages,/direct_messages/subscribers/lists/list,180
,direct_messages,/direct_messages,300
,direct_messages,/direct_messages/broadcasts/statuses/show,60
,direct_messages,/direct_messages/show,300
,direct_messages,/direct_messages/subscribers/lists/members/ids,180
,direct_messages,/direct_messages/subscribers/lists/show,180
,direct_messages,/direct_messages/sent,300
,direct_messages,/direct_messages/subscribers/lists/members/show,1000
,direct_messages,/direct_messages/subscribers/show,180
,direct_messages,/direct_messages/broadcasts/statuses/list,60
,direct_messages,/direct_messages/sent_and_received,300
,direct_messages,/direct_messages/broadcasts/list,60
,direct_messages,/direct_messages/broadcasts/show,60
,direct_messages,/direct_messages/subscribers/ids,180
,search,/search/tweets,180
,tweet_prompts,/tweet_prompts/report_interaction,180
,tweet_prompts,/tweet_prompts/show,180
,i,/i/config,15
,sandbox,/sandbox/account_activity/webhooks/:id/subscriptions,500
,drafts,/drafts/statuses/ids,450
,drafts,/drafts/statuses/show,450
,drafts,/drafts/statuses/update,450
,drafts,/drafts/statuses/list,450
,drafts,/drafts/statuses/destroy,450
,drafts,/drafts/statuses/create,450
,friends,/friends/following/ids,15
,friends,/friends/ids,15
,friends,/friends/following/list,15
,friends,/friends/list,15
,collections,/collections/entries,1000
,collections,/collections/show,1000
,collections,/collections/list,1000
,webhooks,/webhooks/subscriptions/direct_messages,15
,webhooks,/webhooks,15
,auth,/auth/csrf_token,15
,account_activity,/account_activity/webhooks/:id/subscriptions/direct_messages,500
,account_activity,/account_activity/webhooks/:id/subscriptions/all,500
,account_activity,/account_activity/webhooks/:id/subscriptions/all/list,15
,account_activity,/account_activity/direct_messages/:instance_name/subscriptions,15
,account_activity,/account_activity/webhooks/:id/subscriptions/direct_messages/list,15
,account_activity,/account_activity/all/:instance_name/subscriptions,15
,account_activity,/account_activity/webhooks,15
,account_activity,/account_activity/direct_messages/:instance_name/webhooks,15
,account_activity,/account_activity/direct_messages/webhooks,15
,account_activity,/account_activity/all/:instance_name/webhooks,15
,account_activity,/account_activity/webhooks/:id/subscriptions,500
,account_activity,/account_activity/all/webhooks,15
,media,/media/upload,500
,tweets,/tweets/search/:product/:label,1800
,tweets,/tweets/search/:product/:instance/counts,900
,help,/help/privacy,15
,help,/help/languages,15
,help,/help/configuration,15
,help,/help/tos,15
,help,/help/settings,15
,moments,/moments/statuses/update,5
,moments,/moments/permissions,300
,followers,/followers/ids,15
,followers,/followers/list,15
,lists,/lists/show,75
,lists,/lists/subscribers,180
,lists,/lists/subscribers/show,15
,lists,/lists/ownerships,15
,lists,/lists/members,900
,lists,/lists/statuses,900
,lists,/lists/memberships,75
,lists,/lists/list,15
,lists,/lists/members/show,15
,lists,/lists/subscriptions,15
,geo,/geo/similar_places,15
,geo,/geo/search,15
,geo,/geo/reverse_geocode,15
,geo,/geo/id/:place_id,75
,contacts,/contacts/users,300
,contacts,/contacts/delete/status,300
,contacts,/contacts/uploaded_by,300
,contacts,/contacts/users_and_uploaded_by,300
,contacts,/contacts/addressbook,300
,custom_profiles,/custom_profiles/list,180
,custom_profiles,/custom_profiles/show,180
,feedback,/feedback/show/:id,180
,feedback,/feedback/events,1000
,blocks,/blocks/list,15
,blocks,/blocks/ids,15
,live_pipeline,/live_pipeline/events,180
,guide,/guide,180
,trends,/trends/place,75
,trends,/trends/available,75
,trends,/trends/closest,75
,account,/account/update_profile,15
,account,/account/login_verification_enrollment,15
,account,/account/verify_credentials,75
,account,/account/settings,15
GetUserTimeline,statuses,/statuses/user_timeline,900
,statuses,/statuses/show/:id,900
,statuses,/statuses/retweeters/ids,75
,statuses,/statuses/home_timeline,15
,statuses,/statuses/mentions_timeline,75
,statuses,/statuses/retweets/:id,75
,statuses,/statuses/lookup,900
,statuses,/statuses/oembed,180
,statuses,/statuses/retweets_of_me,75
,statuses,/statuses/friends,15
,mutes,/mutes/users/ids,15
,mutes,/mutes/users/list,15
,saved_searches,/saved_searches/show/:id,15
,saved_searches,/saved_searches/destroy/:id,15
,saved_searches,/saved_searches/list,15
,live_video_stream,/live_video_stream/status/:id,1000
,favorites,/favorites/list,75
